Statistic Measure,SVM (BoW),Random Forest (BoW),SVM (SVD),Random Forest (SVD),My Method
Accuracy,0.9471353817254796,0.939174381680755,0.82436602710318,0.8450288474439823,0.9562144997540141
Precision,0.9428822056626356,0.9401463353838196,0.8178981513383758,0.8327405415000463,0.9534916542762484
Recall,0.9403263996034154,0.9268266534715726,0.7922693651892676,0.8222300093425349,0.9501495058651701
F-Measure,0.9415225101239278,0.9331471443491404,0.8032438699196894,0.8270275492550493,0.9517932513681314
